method,generation,samples,fitness_mean,fitness_std,fitness_min,fitness_max,fitness_count,best_so_far_mean,best_so_far_std,best_so_far_min,best_so_far_max,fitness_ci_lower,fitness_ci_upper,best_ci_lower,best_ci_upper
random_search,33,68000,-2.8967,0.8514,-4.704,-0.504,50,-2.8967,0.8514,-4.704,-0.504,-3.1326960396928727,-2.6607039603071274,-3.1326960396928727,-2.6607039603071274
random_search,34,70000,-2.8837,0.847,-4.704,-0.504,50,-2.8837,0.847,-4.704,-0.504,-3.1184764219166823,-2.648923578083318,-3.1184764219166823,-2.648923578083318
random_search,35,72000,-2.8787,0.8461,-4.704,-0.504,50,-2.8787,0.8461,-4.704,-0.504,-3.1132269546442792,-2.6441730453557204,-3.1132269546442792,-2.6441730453557204
random_search,36,74000,-2.8727,0.8455,-4.704,-0.504,50,-2.8727,0.8455,-4.704,-0.504,-3.1070606431293446,-2.6383393568706555,-3.1070606431293446,-2.6383393568706555
random_search,37,76000,-2.8247,0.8103,-4.704,-0.504,50,-2.8247,0.8103,-4.704,-0.504,-3.04930370091982,-2.60009629908018,-3.04930370091982,-2.60009629908018
random_search,38,78000,-2.7957,0.8312,-4.704,-0.504,50,-2.7957,0.8312,-4.704,-0.504,-3.026096885356725,-2.565303114643275,-3.026096885356725,-2.565303114643275
random_search,39,80000,-2.7957,0.8312,-4.704,-0.504,50,-2.7957,0.8312,-4.704,-0.504,-3.026096885356725,-2.565303114643275,-3.026096885356725,-2.565303114643275
random_search,40,82000,-2.7837,0.8161,-4.704,-0.504,50,-2.7837,0.8161,-4.704,-0.504,-3.009911378897526,-2.557488621102474,-3.009911378897526,-2.557488621102474
random_search,41,84000,-2.7747,0.8116,-4.704,-0.504,50,-2.7747,0.8116,-4.704,-0.504,-2.999664042535513,-2.5497359574644873,-2.999664042535513,-2.5497359574644873
random_search,42,86000,-2.7747,0.8116,-4.704,-0.504,50,-2.7747,0.8116,-4.704,-0.504,-2.999664042535513,-2.5497359574644873,-2.999664042535513,-2.5497359574644873
random_search,43,88000,-2.7726,0.8111,-4.704,-0.504,50,-2.7726,0.8111,-4.704,-0.504,-2.9974254496064003,-2.5477745503936,-2.9974254496064003,-2.5477745503936
random_search,44,90000,-2.7626,0.805,-4.704,-0.504,50,-2.7626,0.805,-4.704,-0.504,-2.985734615871227,-2.539465384128773,-2.985734615871227,-2.539465384128773
random_search,45,92000,-2.7626,0.805,-4.704,-0.504,50,-2.7626,0.805,-4.704,-0.504,-2.985734615871227,-2.539465384128773,-2.985734615871227,-2.539465384128773
random_search,46,94000,-2.7626,0.805,-4.704,-0.504,50,-2.7626,0.805,-4.704,-0.504,-2.985734615871227,-2.539465384128773,-2.985734615871227,-2.539465384128773
random_search,47,96000,-2.7626,0.805,-4.704,-0.504,50,-2.7626,0.805,-4.704,-0.504,-2.985734615871227,-2.539465384128773,-2.985734615871227,-2.539465384128773
